_id,properties.nazwa
66256ac934e81692b5eed3a6,Śląskie
66256ac934e81692b5eed3a7,Opolskie
66256ac934e81692b5eed3a8,Wielkopolskie
66256ac934e81692b5eed3a9,Zachodniopomorskie
66256ac934e81692b5eed3aa,Świętokrzyskie
66256ac934e81692b5eed3ab,Kujawsko-Pomorskie
66256ac934e81692b5eed3ac,Podlaskie
66256ac934e81692b5eed3ad,Dolnośląskie
66256ac934e81692b5eed3ae,Podkarpackie
66256ac934e81692b5eed3af,Małopolskie
66256ac934e81692b5eed3b0,Pomorskie
66256ac934e81692b5eed3b1,Warmińsko-Mazurskie
66256ac934e81692b5eed3b2,Łódzkie
66256aca34e81692b5eed3b3,Mazowieckie
66256aca34e81692b5eed3b4,Lubelskie
66256aca34e81692b5eed3b5,Lubuskie
